feature,frequency
breeding considerations,1
unique breeds,1
extreme body,1
body types,1
different cycling,1
cycling patterns,1
patterns etc,1
puppy records,1
records keeping,1
learning new,1
new things,1
canine genetics,1
sa therio,1
reproductive health,1
handle challenging,1
challenging conversations,1
learning ways,1
manage different,1
different viewpoints,1
technological advancements,1
main thing,1
foster relationships,1
better support,1
fancy community,1
intimately understand,1
future client,1
client base,1
learn best,1
best practices,1
areas need,1
need improvement,1
advocate for ethical,1
ethical preservation breeding,1
breeding of functional,1
breeders are essential,1
future of purebred,1
important and integral,1
dogs have shaped,1
history by serving,1
serving as guardians,1
community that comes,1
adopt and shop,1
use my role(s,1
believe a dog,1
needs and goals,1
feel like hypertypes,1
feel that breed,1
fancy are contributing,1
population of dog,1
increased attrition rate,1
love the competitive,1
aspect of dog,1
goes into breeding,1
special breeding considerations,1
considerations for unique,1
extreme body types,1
different cycling patterns,1
cycling patterns etc,1
puppy records keeping,1
learning new things,1
things about canine,1
new to sa,1
like to learn,1
specialist's role,1
role in reproductive,1
handle challenging conversations,1
conversations with clients,1
ways to manage,1
manage different viewpoints,1
viewpoints between client,1
client and veterinarian,1
info on trends,1
trends and technological,1
advancements in repro,1
connections and community,1
community i think,1
want to foster,1
help me better,1
support the dog,1
dog fancy community,1
want to intimately,1
understand my future,1
future client base,1
base's needs,1
learn best practices,1
practices and learn,1
learn what areas,1
areas need improvement,1
people who love,1
every,1
money,1
benefit,1
home,1
 ,1
hopefully,1
majority,2
talked,1
cream,1
crop,1
represent,1
going,1
owned,1
statement,1
families,1
us,1
instead,1
used,1
were,1
necessarily,1
especially,1
looked,1
temperaments,1
activity,1
levels,1
prepared,1
impulse,1
buy,2
live,1
apartments,1
belgian,1
malinois,1
saw,1
tv,1
found,1
miami,1
problems,2
than,1
mutts,1
definitely,1
myth,1
heard,2
believed,1
educating,1
're,2
went,1
last,1
opened,1
eyes,1
big,1
political,1
surprise,1
you,2
never,1
internal,1
whether,5
vets,2
involved,1
operate,1
general,1
practice,1
specialized,1
clinic,1
specialize,1
similarities,1
differences,1
ai,1
over,1
normal,1
term,1
wise,1
results,1
reported,1
makes,1
decision,1
moving,1
forward,1
owner,1
club,1
policy,1
regard,1
gene,1
markers,1
ability,1
procedures,2
and/or,1
appointments,2
tufts,1
conflict,1
our,1
classes,1
attend,1
unless,1
counted,1
excused,1
absence,1
cool,1
class,1
connected,1
talk,1
ask,1
questions,1
extremely,1
research,1
include,1
vs.,1
another,1
useful,1
resource,1
handout,1
breakdown,1
ailments,1
issues,1
affecting,1
great breeders,2
bad breeders,1
breeders want,1
great home,1
bad thing,2
activity levels,1
specific breed,1
people impulse,1
impulse buy,1
buy dogs,1
breeders allow,1
personally know,1
know people,1
belgian malinois,1
health problems,1
mixed breeds,1
great purpose,1
dog community,1
people care,1
internal politics,1
vets involved,1
theriogenology operate,1
general practice,1
specialized clinic,1
certain dog,1
breeding specific,1
use ai,1
right term,1
genetics wise,1
moving forward,1
akc policy,1
specific gene,1
gene markers,1
procedures and/or,1
and/or appointments,1
specific breeder,1
breeder appointments,1
excused absence,1
common procedures,1
breeding community,1
ask questions,1
extremely valuable,1
valuable research,1
shows work,1
different breeders,1
breeders breed,1
different events,1
conformation vs.,1
vs. agility,1
useful resource,1
specific ailments,1
genetic issues,1
issues affecting,1
like every profession,1
like a lot,1
lot of breeders,1
know the great,1
great breeders want,1
want to benefit,1
benefit the breed,1
hopefully a majority,1
majority of breeders,1
crop for breeders,1
represent the majority,1
believe that purebred,1
purebred and purpose,1
dogs are owned,1
lot of families,1
necessarily a bad,1
family has looked,1
looked into temperaments,1
breed of dog,1
thing when people,1
people impulse buy,1
impulse buy dogs,1
dogs and breeders,1
personally know people,1
people who live,1
live in apartments,1
apartments and wanted,1
wanted to buy,1
buy a belgian,1
tv and know,1
found a breeder,1
breeder in miami,1
thing that purebred,1
problems than mutts,1
mutts or mixed,1
heard and believed,1
serve a great,1
purpose in educating,1
educating the public,1
types of breeds,1
opened my eyes,1
political these events,1
think about internal,1
think about dog,1
breeding and dog,1
involved in theriogenology,1
open a specialized,1
specialize in certain,1
certain dog breeds,1
similarities and differences,1
comes to breeding,1
breeding specific breeds,1
results are reported,1
vet that makes,1
makes a decision,1
decision about moving,1
forward with breeding,1
policy in regard,1
regard to specific,1
specific gene markers,1
love the ability,1
procedures and/or appointments,1
appointments at tufts,1
tufts as specific,1
specific breeder appointments,1
appointments may conflict,1
difficult to attend,1
class or information,1
information about common,1
problems with specific,1
vets should know,1
work with breeders,1
think being connected,1
connected with people,1
able to talk,1
extremely valuable research,1
helpful may include,1
include how dog,1
dog shows work,1
different breeders breed,1
breed for different,1
conformation vs. agility,1
handout or breakdown,1
breakdown of specific,1
ailments and genetic,1
genetic issues affecting,1
affecting their breed,1
breed of dogs,1
